Expense ID,Date,Site Name ,Vehicles,Diesel Qty in Ltr ,Rate ,Amount 
EXID#001,14-03-2025,Gudibande ,Hitachi & Grader diesel ,200,89.42,"17,884"
EXID#002,17-03-2025,Gudibande ,1St Rent Hitachi Disel ,200,89.42,"17,884"
EXID#003,17-03-2025,Gudibande ,1179  Tipper Diesel ,213.05,89.42,"19,051"
EXID#004,21-03-2025,Gudibande ,Rent Roller,35,89.42,"3,130"
EXID#005,23-03-2025,Gudibande ,2nd Rent Grader Diesel,50,89.42,"4,471"
EXID#006,26-03-2025,Gudibande ,Volvo Roller ,35,89.42,"3,130"
EXID#007,27-03-2025,Gudibande ,Grader Diesel ,35,89.42,"3,130"
EXID#008,28-03-2025,Gudibande ,Pandian Roller,65,89.42,"5,812"
EXID#009,28-03-2025,Gudibande ,Grader Diesel ,35,89.42,"3,130"
EXID#010,28-03-2025,Gudibande ,1 Rent Hitachi Dieseel,100,89.42,"8,942"
EXID#011,28-03-2025,Gudibande ,2 Rent Hitachi Dieseel,100,89.42,"8,942"
EXID#012,29-03-2025,Gudibande ,Roller diesel- Ashoka ,35,89.42,"3,130"
EXID#013,31-03-2025,Gudibande ,Roller ,50,89.42,"4,471"
EXID#014,31-03-2025,Gudibande ,Grader Diesel ,50,89.42,"4,471"
EXID#015,31-03-2025,Gudibande ,Hitachi ,100,89.42,"8,942"
EXID#016,3/4/2025,Gudubande,Water tanker diesel,100,91.43,"9,143"
EXID#017,4/4/2025,Gudubande,Ashok roller Diesel,50,91.43,"4,572"
EXID#018,4/4/2025,Gudubande,Rent Grader diesel,50,91.43,"4,572"
EXID#019,4/4/2025,Gudubande,Rent Hitachi Diesel,100,91.43,"9,143"
EXID#020,7/4/2025,Gudubande,Rent Hitachi Diesel,115,91.43,"10,514"
EXID#021,7/4/2025,Gudubande,Rent Grader Diesel,50,91.43,"4,572"
EXID#022,10/4/2025,Gudibande,Rent Hitachi Diesel,100,91.43,"9,143"
EXID#023,10/4/2025,Gudibande,Rent Grader Diesel,50,91.43,"4,572"
EXID#024,10/4/2025,Gudibande,Ashok Rent Roller,50,91.43,"4,572"
EXID#025,10/4/2025,Gudibande,Water tanker Diesel,100,91.43,"9,143"
EXID#026,11/4/2025,Gudibande,Ajax Diesel(yellow),23.77,91.43,"2,173"
EXID#027,12/4/2025,Gudibande,Ashok roller Diesel,35,91.43,"3,200"
EXID#028,13-04-2025,Gudibande,Rent Hitachi Diesel,100,91.43,"9,143"
EXID#029,13-04-2025,Gudibande,Rent Grader Diesel,50,91.43,"4,572"
EXID#030,13-04-2025,Gudibande,Ashok Rent Roller,50,91.43,"4,572"
EXID#031,15-04-2025,Gudibande,Water tanker Diesel (Blue&White),65,91.43,"5,943"
EXID#032,15-04-2025,Gudibande,Rent Grader diesel ,35,91.43,"3,200"
EXID#033,16-04-2025,Gudibande,Eshwar rent hitachi Diesel ,200,91.43,"18,286"
EXID#034,18-04-2025,Gudibande,Rent ajax diesel (Yellow),40,91.43,"3,657"
EXID#035,,Gudibande,Rent grader Diesel ,100,91.43,"9,143"
EXID#036,,Gudibande,Eshwar rent hitachi Diesel ,60,91.43,"5,486"
EXID#037,19-04-2025,Gudibande ,1179 Tipper diesel ,220,91.43,"20,115"
EXID#038,20-04-2025,Gudibande ,Tractor Diesel,31.8,91.43,"2,907"
EXID#039, ,Gudibande ,Tipper diesel (5211),240.62,91.43,"22,000"
EXID#040,22-04-2025,Gudibande,Eswar hitachi ,200,91.43,"18,286"
EXID#041,22-04-2025,Gudibande ,1719 tipper Diesle ,234.06,91.43,"21,400"
EXID#042,23-04-2025,Gudibande,VC Roller Diesel,200,91.43,"18,286"
EXID#043,24-04-2025,Gudibande,Grader Diesel ,100,91.43,"9,143"
EXID#044,27-04-2025,Gudibande,Eshwar rent hitachi Diesel ,100,91.43,"9,143"
EXID#045,27-04-2025,Gudibande,Water Tanker (W&B),100,91.43,"9,143"
EXID#046,30-04-2025,Gudibande,Hitachi diesel ,200,91.43,"18,286"
EXID#047,30-04-2025, ,Tractor Diesel,36.93,91.43,"3,377"
EXID#048,4/5/2025,Gudibande,Rent Grader diesel,100,91.43,"9,143"
EXID#049,4/5/2025,Gudibande ,VC Roller Diesel,100,91.43,"9,143"
EXID#050,6/5/2025,Gudibande,Rent Hitachi Diesel,200,91.43, 
EXID#051,7/5/2025,Gudibande,Rent JCB 1534,108.39,91.43,"9,910"
EXID#052,10/5/2025,Gudibande,Shifting Vehicle Diesel,100,91.43,"9,143"
EXID#053,13-05-2025,Gudibande,Ajax Diesle ,35,91.43,"3,200"
EXID#054,14-05-2025,Gudibande,VC Roller Diesel,135,91.43,"12,343"
EXID#055,14-05-2025,Gudibande,Paver Diesel,20,91.43,"1,829"
EXID#056,14-05-2025,Gudibande,VC Double Drum Roller Diesel,30,91.43,"2,743"
EXID#057,14-05-2025,Gudibande,Cleaning ,15,91.43,"1,371"
EXID#058,19-05-2025,Gudibande,Ajax Diesel - yellow,35,91.43,"3,200"
EXID#059,21-05-2025,Gudibande,Ajax and Tractor Diesel,35,91.43,"3,200"
EXID#060,24-05-2025,Gudibande,Water Tanker (Blue),100,91.43,"9,143"
EXID#061,27-05-2025,Gudibande,Trctor Diesel,30,91.43,"2,743"
EXID#062,27-05-2025,Gudibande,Ajax Diesel (yellow),30,91.43,"2,743"
EXID#063,28-05-2025,Gudibande,Sunil roller diesel,200,91.43,"18,286"
EXID#064,30-05-2025,Gudibande,Ajax diesel,30,91.43,"2,743"
EXID#065,30-05-2025,Gudibande,Shiva Tractor,5,91.43,457
EXID#066,30-05-2025,Gudibande,rent Hitachi Diesel,200,91.43,"18,286"
EXID#067,1/6/2025,Gudibande,rent Hitachi Diesel,100,91.43,"9,143"
EXID#068,1/6/2025,Gudibande,Rent Grader diesel,100,91.43,"9,143"
EXID#069,3/6/2025,Gudibande,Water Tanker (Blue),100,91.43,"9,143"
EXID#070,3/6/2025,Gudibande,Ajax diesel (Yellow),30,91.43,"2,743"
EXID#071,4/6/2025,Gudibande,Tipper Diesel (5211),269.6,91.43,"24,650"
EXID#072,8/6/2025,Gudibande,rent Hitachi Diesel,200,91.43,"18,286"
EXID#073,8/6/2025,Gudibande,1179 tipper diesel,205.07,91.43,"18,750"
EXID#074,9/6/2025,Gudibande,Water Tanker (Blue),100,91.43,"9,143"
EXID#075,10/6/2025,Gudibande,Rent Hitachi Diesel,100,91.43,"9,143"
EXID#076,10/6/2025,Gudibande,Rent Grader Diesel,100,91.43,"9,143"
EXID#077,13-06-2025,Gudibande,Rent Grader Diesel ,100,91.43,"9,143"
EXID#078,13-06-2025,Gudibande,Rent Hitachi Diesel ,200,91.43,"18,286"
EXID#079,14-06-2025,Gudibande,Single Drum roller Diesel,200,91.43,"18,286"
EXID#080,16-06-2025,Gudibande,Tipper Diesel (5211),278.47,91.43,"25,461"
EXID#081,18-06-2025,Gudibande,Eshwar rent hitachi Diesel ,200,91.43,"18,286"
EXID#082,18-06-2025,Gudibande,1179  Tipper Diesel ,215,91.43,"19,657"
EXID#083,18-06-2025,Gudibande,Grader Diesel - rent ,100,91.43,"9,143"
EXID#084,18-06-2025,Gudibande,water tanker ,100,91.43,"9,143"
EXID#085,22-06-2025,Gudibande,Single Drum roller Diesel,200,91.43,"18,286"
EXID#086,23-06-2025,Gudibande,Tractor Diesel,30,91.43,"2,743"
EXID#087,24-06-2025,Gudibande,Paver Diesel,100, , 
EXID#088,24-06-2025,Gudibande,Rent Grader diesel,100,91.43,"9,143"
EXID#089,24-06-2025,Gudibande,VC Double Drum Roller Diesel,115,91.43,"10,514"
EXID#090,24-06-2025,Gudibande,1179  Tipper Diesel ,220,91.43,"20,115"
EXID#091,24-06-2025,Gudibande,Shifting Lari Diesel,100,91.43,"9,143"
EXID#092,25-06-2025,Gudibande,eshwar Rent Hitachi Diesel,100,91.43,"9,143"
EXID#093,1/7/2025,Gudibande,Roller diesel  old,200,91.43,"18,286"
EXID#094,3/7/2025,Gudibande,Water Tanker Diesel (blue & White),166.37,91.43,"15,211"
EXID#095,3/7/2025,Gudibande,Water Tanker Diesel (blue & White),32.77,91.43,"2,996"
EXID#096,4/7/2025,Gudibande,shifting vehicle diesel,100,91.43,"9,143"
EXID#097,4/7/2025,Gudibande,tipper 1179 diesel,225.27,91.43,"20,596"
EXID#098,9/7/2025,gudibande,Roller Diesel,100,91.43,"9,143"
EXID#099,9/7/2025,gudibande,Rent Hitachi,200,91.43,"18,286"
EXID#100,11/7/2025,Gudibande,Boiler Tractor ,20,91.43,"1,829"
EXID#101,11/7/2025,Gudibande,Paver Diesel,78.5,91.43,"7,177"
EXID#102,11/7/2025,Gudibande,D D Roller Diesel,120,91.43,"10,972"
EXID#103,14-07-2025,Gudibande,Tipper diese (5220),286.64,91.43,"26,207"
EXID#104,14-07-2025,Gudibande,Tipper diese (1179),230,91.43,"21,029"
EXID#105,14-07-2025,Gudibande, ,15,91.43,"1,371"
EXID#106,14-07-2025,Gudibande,1719 Tipper diesel,230.44,91.43,"21,069"
EXID#107,17-07-2025,Gudibande,Tipper 5543,34,91.43,"3,109"
EXID#108,22-07-2025,Gudibande,Camper Diesel,46.25,91.43,"4,229"
EXID#109,22-07-2025,Gudibande,Showel ,15,91.43,"1,371"
EXID#110,23-07-2025,Gudibande,Double Drum Roller,50,91.43,"4,572"
EXID#111,23-07-2025,Gudibande,Paver ,30,91.43,"2,743"
EXID#112,23-07-2025,Gudibande,cleaning ,15,91.43,"1,371"
EXID#113,26-07-2025,Gudibande,Double Drum Roller,50,91.43,"4,572"
EXID#114,26-07-2025,Gudibande,Boiler tractor,7,91.43, 
EXID#115,1/8/2025,Gudibande,VC JCB Diesel,100,91.43,"9,143"
EXID#116,22-09-2025,Gudibande ,Volvo Roller,136,91.43,"12,434"
EXID#117,15-08-2025, ,Camper diesel,47.69,91.43,"4,360"
EXID#118,31-08-2025, ,Camper Diesel,41.73,91.43,"3,815"
